Temperature	Standard_1_1	Standard_1_2	Standard_1_3	Standard_2_1	Standard_2_2	Standard_2_3	Standard_3_1	Standard_3_2	Standard_3_3	Standard_4_1	Standard_4_2	Standard_4_3	Standard_5_1	Standard_5_2	Standard_5_3	Standard_6_1	Standard_6_2	Standard_6_3	Standard_7_1	Standard_7_2	Standard_7_3	Standard_8_1	Standard_8_2	Standard_8_3	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
68.20	3327.55	3286.21	3188.73	3261.93	3315.70	3179.52	3240.07	3138.95	3113.08	3201.95	3270.52	3090.72	3254.62	3243.73	3198.36	3191.94	3187.96	3048.44	3246.17	3159.57	3238.63	3324.19	3213.89	3178.52	2927.31	3033.68	2769.32	3122.97	3169.33	2933.15	3249.40	3130.00	3117.48	2873.03
68.30	3325.75	3284.50	3187.03	3260.10	3314.15	3178.19	3238.14	3137.48	3111.66	3200.11	3268.94	3089.65	3252.84	3242.28	3197.06	3189.97	3186.18	3047.36	3244.10	3158.20	3237.38	3322.27	3212.61	3176.77	2926.23	3032.76	2768.25	3122.04	3167.69	2931.68	3248.21	3128.64	3115.99	2871.64
68.40	3323.91	3282.80	3185.63	3258.07	3312.36	3176.96	3236.14	3136.16	3110.57	3198.16	3267.23	3088.71	3251.05	3240.69	3195.52	3188.12	3184.25	3046.22	3242.38	3156.72	3235.96	3320.20	3211.16	3175.11	2925.05	3031.47	2767.12	3120.97	3166.21	2930.07	3247.03	3127.57	3114.39	2870.26
68.50	3322.39	3281.25	3184.35	3256.11	3310.61	3175.87	3234.14	3134.58	3109.40	3196.46	3265.51	3087.73	3248.93	3239.28	3193.80	3186.34	3182.35	3044.85	3240.84	3155.39	3234.39	3318.38	3209.52	3173.72	2923.76	3030.52	2766.06	3119.52	3165.06	2928.58	3245.56	3126.53	3112.74	2868.98
68.60	3321.05	3279.88	3183.06	3254.35	3308.81	3174.99	3232.11	3132.95	3108.04	3194.67	3263.69	3086.79	3246.79	3237.76	3192.04	3184.63	3180.36	3043.47	3239.30	3154.09	3232.79	3316.86	3207.91	3172.59	2922.35	3029.61	2765.15	3118.16	3164.20	2927.50	3244.06	3125.42	3111.19	2867.73
68.70	3319.47	3278.61	3181.71	3252.69	3306.88	3173.94	3229.95	3131.37	3106.54	3192.75	3261.89	3085.62	3244.81	3236.28	3190.58	3182.98	3178.42	3042.16	3237.80	3152.90	3231.15	3315.31	3206.01	3171.45	2921.16	3028.54	2764.25	3116.79	3163.28	2926.46	3242.36	3124.27	3109.46	2866.77
68.80	3317.75	3277.31	3180.32	3251.10	3304.98	3172.67	3228.06	3129.85	3105.12	3191.09	3260.09	3084.32	3242.94	3235.02	3189.02	3181.59	3176.61	3040.77	3236.29	3151.50	3229.40	3313.50	3203.84	3170.05	2919.87	3027.22	2763.64	3115.22	3162.40	2925.49	3240.65	3123.03	3107.69	2865.88
68.90	3315.98	3276.16	3178.59	3249.58	3303.46	3171.07	3226.27	3128.31	3103.50	3189.60	3258.44	3082.59	3241.15	3233.78	3187.73	3180.19	3174.96	3039.44	3234.77	3150.03	3227.74	3311.87	3201.80	3168.69	2918.63	3026.06	2762.92	3113.53	3161.27	2924.44	3238.78	3121.56	3106.21	2865.01
69.00	3313.95	3274.91	3176.90	3248.17	3302.28	3169.27	3224.38	3126.98	3101.99	3187.96	3256.76	3080.94	3239.64	3232.43	3186.36	3178.54	3173.34	3038.05	3233.30	3148.49	3226.04	3310.03	3200.09	3167.13	2917.55	3024.62	2762.29	3112.11	3159.62	2923.32	3237.16	3120.06	3104.75	2864.11
69.10	3311.84	3273.71	3175.37	3246.60	3301.12	3167.48	3222.58	3125.56	3100.61	3186.51	3255.08	3079.18	3238.15	3231.13	3185.08	3176.89	3171.92	3036.41	3231.83	3146.95	3224.46	3308.18	3198.52	3165.35	2916.59	3023.21	2761.38	3110.70	3157.62	2921.82	3235.70	3118.71	3103.15	2863.05
69.20	3309.97	3272.35	3173.80	3245.17	3299.90	3165.52	3221.04	3124.11	3099.03	3185.16	3253.34	3077.59	3236.67	3229.91	3183.57	3175.34	3170.70	3034.71	3230.30	3145.36	3222.87	3306.43	3197.31	3163.55	2915.41	3021.82	2760.55	3109.22	3155.59	2920.41	3234.49	3117.46	3101.70	2861.94
69.30	3308.15	3271.14	3172.38	3243.74	3298.74	3163.68	3219.46	3122.46	3097.24	3183.62	3251.69	3075.94	3235.01	3228.53	3182.13	3173.63	3169.55	3033.21	3228.81	3143.99	3221.45	3304.77	3196.35	3161.94	2914.19	3020.56	2759.41	3107.88	3153.52	2918.91	3233.07	3116.20	3100.26	2860.74
69.40	3306.35	3269.82	3171.15	3242.24	3297.33	3161.98	3217.91	3120.73	3095.55	3181.85	3250.12	3074.50	3233.24	3227.30	3180.49	3171.90	3168.24	3031.52	3227.20	3142.67	3219.99	3302.96	3195.18	3160.27	2912.89	3019.18	2758.39	3106.55	3151.61	2917.46	3231.85	3114.88	3098.72	2859.49
69.50	3304.49	3268.58	3169.86	3240.78	3295.46	3160.51	3216.40	3119.06	3093.96	3180.15	3248.52	3072.75	3231.52	3225.91	3179.03	3170.44	3167.07	3030.00	3225.63	3141.19	3218.55	3301.34	3193.80	3158.54	2911.53	3017.94	2757.22	3105.06	3150.09	2916.23	3230.52	3113.57	3097.18	2858.25
69.60	3302.64	3267.08	3168.38	3239.20	3293.47	3158.87	3214.74	3117.37	3092.25	3178.34	3247.06	3071.02	3229.71	3224.63	3177.35	3168.84	3165.84	3028.79	3223.91	3139.67	3217.12	3299.49	3192.22	3156.96	2909.95	3016.58	2756.28	3103.30	3148.73	2915.04	3229.13	3112.25	3095.48	2857.28
69.70	3300.72	3265.45	3167.17	3237.49	3291.53	3157.51	3212.91	3115.54	3090.73	3176.58	3245.61	3069.28	3227.92	3223.11	3176.00	3167.04	3164.23	3027.64	3222.20	3138.29	3215.73	3297.67	3190.43	3155.48	2908.52	3015.44	2755.27	3101.60	3147.44	2913.90	3227.46	3110.80	3093.66	2856.17
69.80	3298.74	3263.61	3165.79	3235.89	3289.51	3156.24	3210.95	3113.84	3089.39	3174.87	3243.89	3067.64	3226.36	3221.47	3174.51	3165.31	3162.60	3026.35	3220.22	3136.76	3214.25	3295.80	3188.51	3154.08	2907.07	3014.15	2754.49	3099.84	3146.10	2912.80	3225.92	3109.37	3091.89	2855.20
69.90	3296.98	3261.65	3164.37	3234.39	3287.43	3155.03	3208.85	3112.25	3088.03	3173.17	3241.95	3066.06	3224.87	3219.69	3173.06	3163.62	3161.17	3025.27	3218.47	3135.20	3212.83	3294.02	3186.65	3152.67	2905.76	3012.92	2753.71	3098.17	3144.62	2911.81	3224.24	3108.22	3090.09	2854.38
70.00	3295.51	3259.57	3162.87	3232.64	3285.56	3153.74	3206.88	3110.53	3086.51	3171.40	3239.97	3064.77	3223.20	3218.28	3171.73	3161.86	3159.70	3024.42	3216.45	3133.84	3211.39	3292.09	3184.85	3151.60	2904.45	3011.56	2752.94	3096.48	3143.03	2910.57	3222.68	3107.23	3088.15	2853.35
70.10	3293.99	3257.57	3161.46	3230.95	3283.97	3152.59	3204.85	3108.89	3085.11	3169.64	3237.80	3063.46	3221.65	3216.65	3170.78	3160.19	3158.09	3023.47	3214.50	3132.48	3209.75	3290.32	3183.23	3150.39	2903.33	3010.24	2752.18	3095.03	3141.55	2909.47	3221.06	3106.06	3086.56	2852.02
70.20	3292.38	3255.83	3159.65	3229.33	3282.54	3151.35	3202.91	3107.44	3083.84	3167.82	3235.66	3062.13	3220.04	3215.03	3169.48	3158.74	3156.73	3022.33	3212.52	3130.93	3208.04	3288.47	3181.74	3149.02	2902.13	3008.68	2751.32	3093.70	3140.02	2908.17	3219.89	3105.00	3085.21	2850.70
70.30	3290.76	3254.21	3158.06	3227.55	3281.09	3150.09	3201.13	3106.03	3082.47	3165.96	3233.65	3060.81	3218.33	3213.68	3168.47	3157.28	3155.24	3021.23	3210.84	3129.49	3206.26	3286.83	3180.35	3147.45	2901.12	3007.32	2750.44	3092.31	3138.41	2906.79	3218.77	3103.98	3083.85	2849.17
70.40	3288.79	3252.63	3156.41	3225.78	3279.81	3148.75	3199.38	3104.55	3081.09	3164.31	3231.79	3059.30	3216.53	3212.43	3167.63	3155.73	3153.60	3019.96	3208.86	3128.15	3204.35	3285.24	3179.01	3145.81	2900.01	3005.90	2749.47	3090.85	3136.91	2905.42	3217.67	3102.77	3082.52	2847.47
70.50	3286.46	3251.02	3154.74	3224.28	3278.49	3147.40	3197.38	3103.28	3079.77	3162.72	3229.99	3057.77	3214.79	3211.00	3166.64	3154.09	3151.86	3018.37	3207.06	3126.84	3202.49	3283.71	3177.48	3143.95	2898.99	3004.66	2748.47	3089.47	3135.42	2904.24	3216.55	3101.53	3081.22	2845.91
