Temperature	Standard_1_1	Standard_1_2	Standard_1_3	Standard_2_1	Standard_2_2	Standard_2_3	Standard_3_1	Standard_3_2	Standard_3_3	Standard_4_1	Standard_4_2	Standard_4_3	Standard_5_1	Standard_5_2	Standard_5_3	Standard_6_1	Standard_6_2	Standard_6_3	Standard_7_1	Standard_7_2	Standard_7_3	Standard_8_1	Standard_8_2	Standard_8_3	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
74.00	3222.51	3195.03	3100.81	3169.11	3220.94	3098.36	3133.59	3049.03	3026.18	3103.91	3166.59	3003.51	3151.67	3155.84	3114.20	3094.67	3094.96	2968.43	3148.13	3077.36	3147.01	3220.91	3126.99	3090.64	2856.40	2958.16	2716.58	3035.85	3085.03	2864.65	3161.79	3053.82	3025.41	2807.88
74.10	3220.60	3193.18	3099.09	3167.69	3219.42	3096.81	3131.58	3047.55	3024.76	3102.22	3164.97	3002.29	3150.07	3154.37	3112.75	3093.07	3093.58	2967.26	3146.66	3076.09	3145.64	3219.36	3125.49	3089.36	2855.14	2956.52	2716.15	3034.41	3083.28	2863.51	3159.96	3052.75	3023.51	2806.95
74.20	3218.73	3191.38	3097.56	3166.21	3217.86	3095.25	3129.81	3046.04	3023.24	3100.74	3163.27	3001.13	3148.61	3152.71	3110.94	3091.50	3092.09	2965.96	3145.02	3074.54	3144.33	3217.75	3123.68	3088.13	2853.75	2955.13	2715.62	3032.85	3081.92	2862.46	3158.07	3051.80	3021.50	2806.09
74.30	3216.81	3189.50	3096.19	3164.60	3216.36	3094.00	3128.22	3044.45	3021.69	3099.19	3161.45	2999.86	3147.09	3150.97	3109.27	3089.89	3090.37	2964.47	3143.37	3073.00	3142.86	3216.05	3122.05	3087.00	2852.65	2953.61	2714.80	3031.50	3080.52	2861.36	3156.18	3050.69	3019.53	2805.06
74.40	3214.89	3187.54	3094.81	3163.02	3214.93	3092.73	3126.67	3042.80	3019.98	3097.47	3159.56	2998.32	3145.53	3149.31	3107.66	3088.39	3088.67	2963.04	3141.72	3071.26	3141.37	3214.26	3120.42	3085.80	2851.45	2952.17	2714.04	3030.21	3079.27	2860.07	3154.23	3049.42	3017.79	2804.10
74.50	3213.29	3186.02	3093.46	3161.48	3213.54	3091.54	3125.20	3041.24	3018.42	3095.91	3157.55	2996.75	3143.84	3147.76	3106.11	3086.72	3086.80	2961.58	3140.03	3069.56	3139.94	3212.28	3118.91	3084.49	2850.33	2950.92	2713.16	3028.89	3078.08	2858.76	3152.57	3048.31	3016.17	2802.91
74.60	3211.64	3184.62	3092.20	3160.01	3212.27	3090.14	3123.81	3039.94	3017.01	3094.46	3155.71	2995.02	3142.10	3146.37	3104.69	3085.01	3084.93	2960.31	3138.31	3067.82	3138.35	3210.32	3117.59	3082.99	2849.29	2949.70	2712.03	3027.74	3077.02	2857.42	3151.01	3047.11	3014.55	2801.53
74.70	3210.03	3183.35	3090.82	3158.65	3211.06	3088.77	3122.03	3038.72	3015.52	3092.80	3153.74	2993.13	3140.29	3145.24	3103.45	3083.42	3083.02	2959.07	3136.59	3066.35	3136.73	3208.34	3116.17	3081.63	2848.55	2948.47	2710.80	3026.44	3075.50	2855.92	3149.70	3045.75	3013.10	2800.09
74.80	3208.44	3182.06	3089.47	3157.41	3209.71	3087.26	3120.17	3037.53	3014.25	3091.13	3151.84	2991.51	3138.46	3144.19	3102.14	3081.87	3081.37	2958.11	3134.94	3065.05	3135.16	3206.46	3114.65	3080.00	2847.72	2947.33	2709.83	3024.95	3074.13	2854.49	3148.42	3044.23	3011.56	2798.66
74.90	3206.80	3180.63	3088.19	3156.05	3208.19	3085.81	3118.21	3036.27	3013.01	3089.75	3149.94	2990.03	3136.67	3143.21	3100.93	3080.24	3080.07	2957.03	3133.26	3063.97	3133.23	3204.71	3113.11	3078.44	2846.73	2946.08	2708.76	3023.33	3072.45	2853.20	3147.34	3042.79	3009.89	2797.29
75.00	3204.78	3178.96	3086.80	3154.52	3206.62	3084.16	3116.30	3034.99	3011.55	3088.18	3148.14	2988.56	3135.00	3142.03	3099.68	3078.58	3078.83	2956.03	3131.55	3062.74	3131.29	3203.01	3111.18	3077.05	2845.75	2944.71	2707.72	3021.60	3070.73	2851.92	3145.94	3041.13	3008.16	2796.04
75.10	3202.85	3177.34	3085.45	3152.91	3204.91	3082.66	3114.42	3033.46	3009.97	3086.61	3146.08	2987.25	3133.42	3140.53	3098.23	3076.97	3077.49	2954.79	3129.95	3061.55	3129.49	3201.21	3109.34	3075.79	2844.77	2943.25	2707.06	3019.80	3069.09	2850.81	3144.57	3039.39	3006.46	2794.96
75.20	3200.93	3175.62	3084.14	3151.20	3203.18	3081.33	3112.82	3031.69	3008.62	3085.06	3144.21	2986.11	3131.79	3138.84	3096.92	3075.20	3076.19	2953.58	3128.27	3060.29	3127.75	3199.62	3107.59	3074.41	2843.49	2941.73	2706.47	3018.22	3067.45	2849.98	3142.87	3037.80	3004.53	2794.05
75.30	3199.01	3174.16	3082.60	3149.49	3201.58	3080.03	3111.11	3029.89	3007.05	3083.56	3142.27	2984.73	3130.27	3137.14	3095.59	3073.37	3074.80	2952.20	3126.46	3058.98	3125.99	3197.85	3105.82	3073.20	2842.17	2940.18	2705.61	3016.80	3065.64	2849.03	3141.20	3036.49	3002.58	2793.28
75.40	3197.13	3172.99	3080.99	3147.95	3200.06	3078.74	3109.49	3028.18	3005.42	3081.72	3140.55	2983.39	3128.73	3135.42	3094.08	3071.71	3073.11	2950.72	3124.69	3057.70	3124.81	3196.08	3104.10	3072.06	2841.00	2938.65	2704.78	3015.46	3064.15	2848.04	3139.39	3034.99	3000.92	2792.44
75.50	3195.32	3171.76	3079.39	3146.63	3198.47	3077.68	3107.65	3026.68	3003.96	3080.04	3138.83	2982.16	3127.09	3133.77	3092.59	3070.19	3071.41	2949.16	3123.05	3056.52	3123.78	3194.45	3102.79	3070.61	2839.71	2937.16	2703.92	3014.23	3062.67	2846.87	3137.92	3033.63	2999.42	2791.81
75.60	3193.34	3170.48	3077.52	3145.25	3196.68	3076.65	3105.65	3025.23	3002.64	3078.34	3137.24	2980.67	3125.48	3132.29	3091.25	3068.54	3069.77	2947.72	3121.24	3055.44	3122.85	3192.94	3101.55	3069.29	2838.39	2935.73	2703.04	3012.71	3061.17	2845.72	3136.33	3032.43	2997.94	2791.14
75.70	3191.31	3169.19	3075.60	3143.78	3194.83	3075.40	3103.58	3023.98	3001.14	3076.50	3135.54	2979.03	3123.87	3130.82	3089.71	3066.95	3068.26	2946.45	3119.59	3054.40	3121.96	3191.31	3100.52	3068.09	2837.18	2934.43	2702.19	3011.02	3059.88	2844.39	3135.00	3031.36	2996.57	2790.22
75.80	3189.24	3167.54	3073.99	3142.20	3192.89	3074.22	3101.63	3022.84	2999.83	3074.52	3133.85	2977.54	3122.09	3129.31	3088.24	3065.41	3066.85	2945.14	3118.04	3053.32	3121.02	3189.99	3099.40	3066.96	2835.94	2933.29	2701.71	3009.21	3058.73	2843.28	3133.56	3030.06	2995.39	2789.31
75.90	3187.19	3165.60	3072.38	3140.60	3190.88	3072.94	3099.62	3021.64	2998.55	3072.73	3131.86	2976.06	3120.18	3127.74	3086.83	3063.55	3065.38	2944.05	3116.50	3052.04	3119.62	3188.51	3098.25	3065.58	2834.81	2932.16	2701.29	3007.40	3057.45	2842.16	3132.10	3028.96	2993.97	2788.41
76.00	3185.22	3163.88	3070.88	3138.65	3188.99	3071.55	3097.76	3020.18	2997.12	3070.73	3129.84	2974.63	3118.39	3126.37	3085.41	3061.58	3063.92	2943.05	3114.92	3050.75	3117.89	3186.86	3097.02	3064.37	2833.88	2931.09	2700.98	3005.68	3056.24	2841.30	3130.31	3027.92	2992.40	2787.29
76.10	3183.40	3162.10	3069.64	3136.97	3187.32	3070.02	3096.11	3018.66	2995.58	3068.81	3127.81	2973.36	3116.37	3124.93	3083.76	3059.75	3062.45	2941.98	3113.40	3049.21	3116.14	3185.11	3095.49	3062.94	2832.94	2929.87	2700.41	3004.33	3054.99	2840.46	3128.66	3026.92	2990.93	2786.20
76.20	3181.48	3160.38	3068.46	3135.36	3185.88	3068.64	3094.43	3017.21	2994.25	3067.07	3125.83	2972.14	3114.56	3123.54	3082.26	3057.94	3060.86	2940.60	3111.83	3047.56	3114.23	3183.26	3093.64	3061.26	2831.97	2928.43	2699.94	3003.20	3053.80	2839.61	3126.80	3025.71	2989.46	2785.20
76.30	3179.76	3158.78	3067.06	3133.85	3184.51	3067.10	3092.88	3015.69	2992.82	3065.53	3124.05	2970.64	3112.84	3122.26	3080.69	3056.23	3059.09	2939.28	3110.30	3045.94	3112.35	3181.18	3091.97	3059.50	2831.33	2926.83	2699.11	3002.24	3052.42	2838.71	3125.01	3024.65	2987.83	2783.98
76.40	3178.17	3157.28	3065.51	3132.31	3183.33	3065.53	3091.38	3014.22	2991.41	3063.85	3122.39	2969.00	3111.11	3120.94	3079.15	3054.67	3057.32	2937.86	3108.65	3044.31	3110.65	3179.41	3090.29	3057.87	2830.47	2925.43	2698.27	3001.16	3051.08	2837.87	3123.23	3023.51	2986.20	2782.78
76.50	3176.64	3155.84	3063.98	3130.97	3182.16	3064.00	3090.13	3012.89	2990.15	3062.38	3120.85	2967.31	3109.31	3119.40	3077.59	3053.27	3055.72	2936.35	3107.11	3042.61	3109.26	3177.83	3088.61	3056.29	2829.34	2923.76	2697.33	2999.79	3049.48	2836.80	3121.58	3022.36	2984.73	2781.57
76.60	3175.07	3154.37	3062.40	3129.27	3181.05	3062.54	3088.60	3011.86	2988.90	3060.79	3119.64	2965.62	3107.80	3117.92	3076.12	3051.74	3054.21	2934.62	3105.71	3041.13	3107.61	3176.27	3087.18	3054.69	2828.17	2922.32	2696.46	2998.25	3047.94	2835.53	3119.78	3021.09	2982.99	2780.15
76.70	3173.68	3152.95	3060.75	3127.71	3179.74	3061.13	3087.08	3010.73	2987.47	3059.20	3118.50	2964.10	3106.14	3116.40	3074.57	3050.28	3052.84	2932.98	3104.37	3039.71	3105.97	3174.76	3085.94	3053.25	2827.01	2920.98	2695.34	2996.54	3046.10	2834.56	3118.08	3019.88	2981.24	2778.91
76.80	3172.10	3151.74	3059.07	3126.09	3178.47	3059.74	3085.27	3009.67	2985.91	3057.68	3117.25	2962.84	3104.48	3114.79	3072.98	3048.81	3051.63	2931.41	3102.86	3038.20	3104.41	3173.30	3084.72	3051.69	2825.33	2919.49	2694.46	2994.60	3044.39	2833.63	3116.44	3018.50	2979.54	2777.84
76.90	3170.37	3150.56	3057.50	3124.50	3177.08	3058.55	3083.40	3008.70	2984.37	3056.26	3116.19	2961.73	3103.04	3113.35	3071.36	3047.41	3050.68	2929.77	3101.48	3036.92	3102.78	3171.55	3083.52	3050.21	2823.85	2917.68	2693.60	2992.83	3042.53	2832.65	3114.85	3017.16	2977.94	2776.65
77.00	3168.63	3149.15	3055.89	3122.99	3175.63	3057.38	3081.03	3007.74	2982.76	3054.95	3114.98	2960.58	3101.57	3111.90	3069.80	3045.97	3049.50	2928.24	3099.87	3035.76	3100.98	3169.74	3082.26	3048.73	2822.55	2916.35	2692.79	2991.23	3040.90	2831.74	3113.22	3015.73	2976.34	2775.49
77.10	3167.04	3147.91	3054.31	3121.76	3174.08	3056.32	3079.02	3006.37	2981.26	3053.79	3113.18	2959.41	3099.86	3110.53	3068.49	3044.70	3048.29	2926.97	3098.14	3034.59	3099.44	3168.03	3081.03	3047.31	2821.31	2914.98	2692.14	2989.64	3039.24	2830.90	3111.64	3014.21	2975.00	2774.58
77.20	3165.19	3146.45	3052.85	3120.28	3172.56	3055.15	3077.10	3004.90	2979.70	3052.49	3111.26	2958.01	3098.01	3109.21	3067.21	3043.24	3046.89	2926.03	3096.32	3033.46	3098.07	3166.29	3079.79	3046.01	2820.07	2913.68	2691.76	2988.11	3037.97	2829.61	3109.92	3012.69	2973.73	2773.43
77.30	3163.31	3144.78	3051.53	3118.77	3170.94	3054.02	3075.45	3003.37	2978.30	3050.92	3109.41	2956.80	3096.21	3107.91	3066.12	3041.64	3045.47	2925.06	3094.73	3032.47	3096.67	3164.63	3078.47	3045.00	2819.15	2912.79	2691.28	2986.66	3036.67	2828.22	3108.10	3011.45	2972.52	2772.38
77.40	3161.47	3143.17	3050.30	3117.20	3169.26	3052.57	3073.75	3001.51	2976.93	3049.37	3107.16	2955.45	3094.34	3106.34	3065.20	3040.15	3043.79	2924.24	3093.03	3031.38	3095.40	3163.18	3077.11	3044.01	2818.10	2912.02	2690.80	2985.17	3035.52	2826.75	3106.24	3010.20	2971.32	2771.51
77.50	3159.56	3141.47	3049.01	3115.41	3167.33	3051.08	3072.43	2999.55	2975.67	3047.53	3105.07	2954.14	3092.66	3104.94	3064.30	3038.67	3042.27	2923.15	3091.50	3030.28	3094.23	3161.50	3075.72	3042.93	2817.10	2910.92	2690.26	2983.82	3034.19	2825.50	3104.43	3008.96	2969.96	2770.69
77.60	3157.55	3139.66	3047.69	3113.52	3165.46	3049.56	3070.76	2997.88	2974.28	3045.59	3103.42	2952.82	3091.06	3103.43	3063.32	3037.10	3040.58	2921.96	3089.84	3029.06	3092.90	3159.74	3074.05	3042.00	2816.00	2909.72	2689.53	2982.53	3032.92	2824.43	3102.54	3007.97	2968.45	2769.72
77.70	3155.80	3138.20	3046.17	3111.90	3163.59	3047.90	3069.06	2996.34	2973.02	3043.80	3101.73	2951.58	3089.65	3101.81	3062.26	3035.70	3039.03	2920.33	3088.14	3027.82	3091.43	3158.04	3072.43	3040.92	2814.82	2908.43	2688.63	2981.34	3031.36	2823.58	3100.94	3006.97	2966.91	2768.81
77.80	3154.34	3136.73	3044.63	3110.45	3161.68	3046.32	3067.36	2994.74	2971.64	3042.14	3099.79	2949.88	3088.07	3100.03	3061.01	3034.39	3037.45	2918.74	3086.20	3026.42	3089.93	3156.26	3070.85	3039.58	2813.55	2906.85	2687.61	2980.29	3029.96	2822.63	3099.40	3005.60	2965.22	2767.70
77.90	3152.82	3134.97	3043.11	3109.03	3159.84	3045.04	3065.78	2993.33	2970.18	3040.56	3098.20	2948.25	3086.47	3098.39	3059.44	3032.73	3035.76	2917.01	3084.31	3025.00	3088.29	3154.45	3069.37	3037.93	2812.27	2905.18	2686.59	2979.17	3028.72	2821.83	3097.94	3004.03	2963.48	2766.60
78.00	3151.27	3133.37	3041.63	3107.86	3158.43	3043.75	3064.20	2991.99	2968.44	3039.10	3096.59	2946.57	3084.62	3096.59	3057.66	3030.99	3034.07	2915.56	3082.34	3023.49	3086.76	3152.90	3067.92	3036.27	2810.96	2903.46	2685.48	2977.72	3027.58	2820.69	3096.44	3002.55	2961.84	2765.59
78.10	3149.60	3131.65	3040.13	3106.52	3156.76	3042.30	3062.93	2990.48	2966.78	3037.59	3094.82	2944.84	3082.78	3094.61	3055.73	3029.38	3032.55	2914.22	3080.48	3021.99	3085.35	3151.28	3066.76	3034.42	2809.70	2901.76	2684.62	2976.32	3026.38	2819.43	3095.23	3000.88	2960.25	2764.75
78.20	3147.79	3129.46	3038.80	3105.05	3155.23	3041.15	3061.68	2988.95	2965.09	3036.06	3093.18	2943.07	3080.89	3092.77	3053.90	3027.63	3030.93	2913.01	3078.66	3020.44	3084.01	3149.68	3065.39	3032.52	2808.77	2900.03	2683.87	2974.57	3025.31	2818.28	3093.77	2999.16	2958.54	2764.07
78.30	3145.80	3127.31	3037.46	3103.45	3153.76	3039.83	3060.27	2987.47	2963.46	3034.54	3091.73	2941.44	3079.16	3091.18	3051.93	3025.84	3029.25	2911.69	3077.00	3019.05	3082.65	3148.17	3063.88	3030.75	2807.88	2898.23	2683.33	2972.68	3023.98	2817.43	3092.13	2997.75	2957.09	2763.50
78.40	3143.79	3125.46	3036.01	3101.92	3152.35	3038.26	3058.78	2986.19	2961.81	3032.97	3090.19	2939.87	3077.40	3089.84	3050.21	3024.34	3028.00	2910.48	3075.55	3017.75	3081.39	3146.55	3062.24	3029.28	2807.10	2896.63	2682.74	2970.84	3022.37	2816.46	3090.56	2996.81	2955.65	2762.85
78.50	3141.91	3123.64	3034.52	3100.46	3150.70	3036.75	3057.23	2984.80	2960.44	3031.46	3088.56	2938.41	3075.82	3088.56	3048.62	3022.90	3026.62	2909.10	3074.14	3016.62	3079.84	3144.84	3060.73	3027.87	2806.03	2895.23	2682.33	2969.28	3020.84	2815.75	3088.94	2995.72	2954.23	2762.04
78.60	3140.07	3122.05	3032.91	3099.26	3149.38	3035.32	3055.59	2983.45	2958.97	3030.20	3086.79	2937.23	3074.25	3087.54	3047.12	3021.28	3025.17	2907.75	3072.74	3015.51	3078.26	3143.30	3059.21	3026.46	2805.09	2893.86	2681.62	2967.51	3019.30	2815.03	3086.98	2994.71	2952.74	2761.03
78.70	3138.44	3120.96	3031.29	3098.06	3147.95	3033.66	3053.72	2982.07	2957.65	3028.89	3084.94	2936.18	3072.71	3086.42	3045.65	3019.78	3023.79	2906.59	3071.46	3014.49	3076.68	3141.63	3057.87	3025.24	2803.85	2892.54	2680.69	2966.02	3017.77	2814.25	3085.20	2993.80	2951.45	2759.96
78.80	3136.80	3119.90	3029.49	3096.71	3146.49	3032.10	3051.77	2980.73	2956.27	3027.48	3083.05	2935.17	3071.06	3085.14	3044.42	3018.33	3022.41	2905.35	3070.05	3013.49	3075.04	3139.77	3056.82	3023.83	2802.59	2891.43	2679.66	2964.59	3016.34	2813.29	3083.72	2992.69	2949.71	2758.99
78.90	3135.19	3118.78	3027.71	3095.35	3144.88	3030.75	3049.88	2979.03	2954.99	3025.99	3081.03	2934.10	3069.47	3083.52	3043.08	3016.83	3020.77	2903.99	3068.33	3012.28	3073.36	3137.90	3055.86	3022.27	2801.25	2890.20	2678.73	2963.17	3014.98	2812.33	3081.83	2991.23	2948.02	2758.12
79.00	3133.37	3117.64	3026.05	3093.68	3143.34	3029.36	3047.90	2977.41	2953.63	3024.41	3078.95	2932.87	3067.79	3081.89	3041.76	3015.29	3019.16	2902.72	3066.59	3010.98	3072.04	3136.01	3054.74	3020.72	2800.34	2888.84	2677.67	2961.59	3013.60	2811.20	3080.10	2989.70	2946.32	2757.36
79.10	3131.63	3116.36	3024.65	3091.92	3141.75	3028.04	3045.71	2975.85	2952.51	3022.62	3077.10	2931.49	3066.19	3080.21	3040.41	3013.75	3017.52	2901.40	3065.00	3009.68	3070.75	3133.97	3053.57	3019.17	2799.35	2887.43	2676.87	2960.11	3012.43	2810.07	3078.61	2987.95	2944.71	2756.69
79.20	3129.77	3114.92	3023.23	3090.19	3140.27	3026.86	3043.76	2974.36	2951.17	3020.96	3075.34	2929.95	3064.49	3078.77	3039.04	3012.28	3015.83	2899.96	3063.32	3008.24	3069.48	3131.86	3052.29	3017.50	2798.39	2886.18	2676.34	2958.72	3011.24	2808.70	3077.17	2986.14	2943.10	2755.91
79.30	3127.81	3113.47	3022.01	3088.61	3138.86	3025.72	3042.10	2972.99	2950.03	3019.57	3073.66	2928.49	3062.87	3077.48	3037.73	3010.71	3014.31	2898.78	3061.87	3006.59	3068.45	3129.86	3050.67	3016.07	2797.43	2884.88	2675.78	2957.38	3010.11	2807.29	3075.44	2984.43	2941.97	2754.95
79.40	3125.95	3111.92	3020.93	3086.87	3137.63	3024.51	3040.43	2971.84	2948.80	3018.26	3072.21	2927.05	3061.09	3076.32	3036.54	3009.14	3012.80	2897.72	3060.67	3005.04	3067.42	3127.90	3048.87	3014.82	2796.55	2883.71	2675.13	2956.05	3009.08	2806.02	3074.13	2982.78	2940.70	2753.81
79.50	3124.28	3110.48	3020.00	3085.29	3136.38	3023.36	3038.73	2970.84	2947.61	3016.99	3070.93	2925.83	3059.28	3075.15	3035.29	3007.62	3011.41	2896.66	3059.34	3003.40	3066.17	3125.99	3047.04	3013.61	2795.44	2882.61	2674.60	2954.85	3008.04	2804.81	3072.79	2981.40	2939.46	2752.62
79.60	3122.76	3109.23	3018.83	3083.68	3135.05	3022.15	3037.34	2969.80	2946.20	3015.80	3069.48	2924.48	3057.28	3073.96	3034.17	3006.14	3010.02	2895.39	3057.87	3001.98	3064.91	3124.23	3045.10	3012.47	2794.25	2881.62	2673.93	2953.86	3006.64	2803.67	3071.31	2980.36	2938.23	2751.43
79.70	3121.20	3107.77	3017.60	3082.12	3133.49	3020.82	3036.03	2968.70	2944.79	3014.43	3067.87	2923.12	3055.47	3072.39	3032.81	3004.45	3008.76	2894.00	3056.43	3000.72	3063.60	3122.70	3043.16	3011.36	2793.15	2880.39	2673.26	2952.77	3005.14	2802.72	3069.54	2979.24	2936.92	2750.16
79.80	3119.71	3106.22	3016.42	3080.70	3131.80	3019.43	3034.56	2967.31	2943.24	3012.69	3066.08	2921.74	3053.63	3070.69	3031.25	3002.76	3007.21	2892.43	3054.75	2999.66	3062.09	3121.40	3041.36	3010.02	2792.14	2879.16	2672.46	2951.50	3003.68	2801.85	3068.10	2978.16	2935.36	2748.89
79.90	3118.02	3104.76	3015.15	3079.46	3130.08	3017.96	3033.14	2965.81	2941.76	3010.90	3064.02	2920.34	3051.95	3068.91	3029.59	3001.04	3005.60	2890.76	3052.87	2998.79	3060.56	3120.14	3039.71	3008.41	2790.98	2877.73	2671.68	2950.13	3002.18	2800.96	3066.52	2977.15	2933.82	2747.75
80.00	3116.32	3102.96	3013.59	3078.23	3128.26	3016.40	3032.01	2964.06	2940.31	3009.04	3061.86	2918.65	3050.33	3067.19	3027.83	2999.11	3003.87	2889.02	3051.24	2998.04	3059.08	3118.97	3038.45	3006.80	2789.92	2876.15	2670.78	2948.69	3000.72	2800.25	3064.94	2975.92	2932.17	2746.68
80.10	3114.39	3100.89	3012.18	3077.02	3126.57	3014.75	3030.62	2962.27	2938.83	3007.12	3059.89	2917.16	3048.97	3065.44	3025.74	2997.20	3002.29	2887.48	3049.59	2996.91	3057.35	3117.67	3037.29	3005.12	2789.03	2874.59	2669.97	2946.99	2999.43	2799.43	3063.37	2974.53	2930.40	2745.68
80.20	3112.50	3098.93	3010.98	3075.73	3125.07	3013.27	3029.07	2960.62	2937.51	3005.38	3058.18	2915.79	3047.57	3064.02	3023.97	2995.39	3000.49	2886.04	3047.89	2995.60	3055.55	3116.46	3036.23	3003.21	2788.15	2873.22	2668.89	2945.18	2998.32	2798.50	3061.91	2973.13	2928.64	2745.04
80.30	3110.77	3097.08	3009.64	3074.30	3123.60	3011.88	3027.46	2959.22	2936.08	3003.83	3056.56	2914.39	3046.32	3062.49	3022.26	2993.76	2998.76	2884.52	3046.39	2994.40	3053.52	3114.95	3035.38	3001.54	2787.11	2871.74	2668.07	2943.62	2997.05	2797.62	3060.24	2971.65	2926.93	2744.58
80.40	3109.44	3095.31	3008.10	3072.78	3122.05	3010.55	3025.91	2957.88	2934.47	3002.38	3055.17	2913.09	3045.08	3060.97	3020.73	2992.21	2997.20	2883.01	3044.96	2992.89	3051.71	3113.38	3034.59	3000.22	2786.29	2870.27	2667.24	2942.21	2995.86	2796.61	3058.63	2970.14	2925.25	2744.00
80.50	3108.11	3093.88	3006.74	3071.30	3120.66	3009.43	3024.20	2956.74	2932.70	3001.10	3053.80	2911.97	3043.82	3059.42	3019.43	2990.85	2995.68	2881.68	3043.28	2991.35	3049.80	3111.58	3033.20	2998.89	2785.44	2868.96	2666.42	2940.75	2994.56	2795.39	3056.86	2968.71	2923.45	2743.42
80.60	3106.93	3092.68	3005.26	3069.84	3119.20	3008.38	3022.56	2955.85	2931.11	2999.83	3052.18	2910.71	3042.42	3058.01	3018.38	2989.35	2993.90	2880.29	3041.60	2990.12	3048.16	3109.82	3031.65	2997.59	2784.57	2867.44	2665.41	2939.43	2993.22	2794.08	3055.20	2967.36	2921.81	2742.61
80.70	3105.63	3091.54	3003.55	3068.35	3117.85	3007.19	3021.05	2954.80	2929.46	2998.31	3050.55	2909.43	3040.87	3056.57	3017.16	2987.89	2992.22	2878.90	3039.98	2989.03	3046.60	3107.78	3029.85	2996.44	2783.52	2865.79	2664.56	2938.25	2991.89	2792.88	3053.80	2966.13	2920.10	2741.48
80.80	3104.24	3090.25	3001.88	3066.78	3116.68	3005.99	3019.73	2953.56	2928.09	2996.94	3049.11	2908.11	3039.06	3055.34	3015.97	2986.17	2990.66	2877.70	3038.31	2987.56	3045.45	3105.75	3027.81	2995.15	2782.67	2864.27	2663.68	2936.78	2990.51	2791.46	3052.42	2964.85	2918.34	2740.07
80.90	3102.40	3088.86	3000.49	3065.09	3115.57	3004.95	3018.10	2952.27	2927.00	2995.42	3047.49	2906.62	3037.31	3054.16	3014.50	2984.27	2988.89	2876.43	3036.64	2986.27	3043.99	3103.76	3025.69	2993.59	2781.74	2862.97	2662.83	2935.10	2989.01	2790.05	3050.99	2963.38	2916.64	2738.72
81.00	3100.45	3087.45	2998.88	3063.37	3114.52	3003.74	3016.47	2950.90	2926.02	2993.73	3046.03	2905.09	3035.57	3053.01	3012.91	2982.36	2987.12	2874.91	3035.32	2985.01	3042.42	3101.88	3023.86	2991.90	2780.64	2861.62	2661.96	2933.49	2987.57	2788.52	3049.74	2961.93	2915.10	2737.18
81.10	3098.29	3085.76	2997.38	3061.57	3113.45	3002.64	3014.94	2949.16	2924.88	2992.04	3044.78	2903.71	3033.79	3051.61	3011.17	2980.54	2985.44	2873.44	3034.02	2983.56	3040.70	3099.87	3022.33	2990.16	2779.39	2860.41	2661.25	2931.83	2986.29	2787.36	3048.43	2960.23	2913.38	2735.87
81.20	3096.21	3084.11	2995.98	3060.04	3112.11	3001.60	3013.25	2947.30	2923.83	2990.51	3043.24	2902.33	3032.09	3050.13	3009.48	2978.56	2983.83	2871.91	3032.73	2981.97	3039.07	3097.85	3021.04	2988.50	2778.39	2859.22	2660.52	2930.11	2984.85	2786.10	3046.84	2958.49	2911.60	2734.74
81.30	3094.21	3082.57	2994.71	3058.64	3110.76	3000.47	3011.41	2945.62	2922.56	2988.82	3041.43	2901.08	3030.47	3048.66	3007.86	2976.66	2982.08	2870.31	3031.30	2980.54	3037.10	3095.94	3019.70	2986.95	2777.14	2857.95	2659.77	2928.62	2983.58	2785.05	3045.20	2956.71	2909.77	2733.80
81.40	3092.46	3081.12	2993.48	3057.37	3109.30	2999.13	3009.81	2944.03	2921.13	2987.24	3039.84	2899.91	3028.74	3047.23	3006.38	2974.85	2980.41	2868.67	3029.84	2979.01	3035.16	3094.01	3018.18	2985.29	2775.74	2856.54	2659.02	2927.29	2982.46	2783.90	3043.42	2955.13	2907.84	2732.81
81.50	3090.79	3079.61	2992.51	3056.20	3107.68	2997.79	3008.24	2942.52	2919.84	2985.77	3038.02	2898.72	3026.98	3045.61	3005.05	2972.91	2978.76	2867.08	3027.98	2977.27	3033.39	3092.04	3016.70	2983.66	2774.59	2855.06	2658.44	2925.94	2981.28	2782.97	3041.61	2953.51	2905.96	2731.95
81.60	3089.31	3078.40	2991.44	3055.24	3106.03	2996.33	3006.61	2941.24	2918.60	2984.29	3036.08	2897.46	3025.12	3044.15	3003.92	2970.74	2977.14	2865.39	3025.95	2975.37	3031.59	3090.18	3014.79	2982.02	2773.53	2853.59	2657.72	2924.62	2979.94	2781.70	3039.69	2951.97	2903.96	2730.90
81.70	3087.83	3077.15	2990.36	3053.89	3104.46	2994.87	3004.94	2940.13	2917.15	2982.93	3034.37	2896.03	3023.29	3042.66	3002.86	2968.80	2975.28	2863.70	3023.88	2973.66	3029.65	3088.38	3012.58	2980.23	2772.34	2852.04	2656.83	2923.26	2978.77	2780.63	3037.97	2950.39	2902.07	2729.64
